Request Id,Request Definition,CampaignId,Hashtag,SeedTweets,ExpandedTweets,HashtagTweets,UserCount,Organized,Other
201611300959595012cd5293b-9133-4245-a5b0-eeb9c52d798a,Maga Analysis in Boycott Hamilton,BoycottHamilton,maga,2573,563814,19262,856,ORGANIZED,POLITICAL	TRUMP	
2016120219495885cbe83aed-84a5-4916-84b2-ffca4856c5fd,maga,Recount20161130,maga,21117,1993129,165354,2644,ORGANIZED,POLITICAL	TRUMP	
20161202195134366d7d56af8-d12e-4621-a54f-cbd761b6cf28,lockherup,Recount20161130,lockherup,5393,458498,11096,558,ORGANIZED,POLITICAL	TRUMP	
2016120820092018a8a4eb02-10e1-44c2-819c-93e7deb1c27a,clintonemails,AllHillaryEmailTags_20161101,clintonemails,4575,1639227,4948,3310,ORGANIZED,POLITICAL	TRUMP	
201612082013346441d9e0fd0-60b5-4daf-8ce0-72c592b05a49,PodestaEmails20161031,PodestaEmails20161031,podestaemails20,9110,1430915,10299,3913,ORGANIZED,POLITICAL	TRUMP	
20161208201358086a86cde5-294e-46e3-a9b3-695719448713,podestaemails15,podestaemails15,podestaemails15,5301,1254721,9169,3311,ORGANIZED,POLITICAL	TRUMP	
20161208201417557e2873e51-663b-46fc-903f-8bbdbf24609b,podestaemails14,podestaemails14,podestaemails14,9157,1310738,8944,4515,ORGANIZED,POLITICAL	TRUMP	
201612082014378253c48a9a9-4f67-4953-8744-7c57bf6f5c7b,podestaemails,podestaemails,podestaemails,11912,1660477,15074,6923,ORGANIZED,POLITICAL	TRUMP	
20161213092457159f9b7beaa-fb4e-45e9-8b23-651180c4d4c5,TEAMTRUMP,TrumpSupportersElectionWeek,teamtrump,5824,933695,2601,1431,null,POLITICAL	TRUMP	
2016121310485134875b06d0b-56c0-4999-b0f5-5579458b9c87,TRUMP2016,TrumpSupporters_20161110,trump2016,4115,905433,21229,1858,null,POLITICAL	TRUMP	
20161213105003095bb3f429-1b80-4f6e-a3c7-6905c2c0cd58,TrumpPence16,TrumpSupporters_20161110,trumppence16,5904,1239806,45290,1995,ORGANIZED,POLITICAL	TRUMP	
201612131053283338e4ec035-e005-4099-9c88-3e388f553c3f,obamacarefail,trumpmovement,obamacarefail,4287,1447413,5005,3612,ORGANIZED,POLITICAL	TRUMP	
20161213105824497e685440e-4aba-44c9-801e-1312178d0654,benghazi,benghazi,benghazi,4449,1500023,4752,3612,ORGANIZED,POLITICAL	TRUMP	
20170129225429209c115fdd7-ad82-4e5e-8770-76ead28aa5d4,DrainTheSwamp,TrumpSupporters_20161110,draintheswamp,7726,1683453,37163,2464,ORGANIZED,POLITICAL	TRUMP	
201701300911267596d5b314b-c9a6-42cc-a15c-02252f929296,makeamericagreatagain,TrumpSupporters_20161110,makeamericagreatagain,22647,4128571,44835,10713,ORGANIZED,POLITICAL	TRUMP	
201701300912078196d755782-be0d-4ecb-9492-4204e4258406,crookedhillary,TrumpSupporters_20161110,crookedhillary,18999,3773531,34190,8159,ORGANIZED,POLITICAL	TRUMP	
201701302341234096113034-7fe9-4a72-9615-4a805f7be857,americafirst,HillarySupportersElectionDay,americafirst,11834,3051519,18107,5505,ORGANIZED,POLITICAL	TRUMP	
201701311618163238af0b865-675c-49bc-823f-caf6cd56d00a,boycotthamilton,BoycottHamilton,boycotthamilton,18552,2162450,29695,10111,ORGANIZED,POLITICAL	TRUMP	
20170131162005525300ea758-84f6-4809-a832-b4369fe89c60,maga,Trump20161128,maga,65643,4193718,171991,13773,ORGANIZED,POLITICAL	TRUMP	
201702022130097547422f6fc-3299-4c41-9928-a50e9543970e,trumptrain,Trump20161128,trumptrain,30760,2082011,19693,4385,ORGANIZED,POLITICAL	TRUMP	
20170207235215355dbbab404-7fa5-41b4-a428-650dee5aac26,presidenttrump,PresidentTrump,presidenttrump,6554,1893230,13696,4696,ORGANIZED,POLITICAL	TRUMP	
201702072353221684475b7ce-2385-47c8-95ca-51ed305530f9,presidentelecttrump,PresidentTrump,presidentelecttrump,6634,1878486,9985,4475,ORGANIZED,POLITICAL	TRUMP	
20170207235358881a2f5f606-dd39-46f4-a942-04ef401bfcf4,trumppence16,PresidentTrump,trumppence16,249,47933,1373,136,ORGANIZED,POLITICAL	TRUMP	
2017020723544868887d0ae41-0014-4004-bf33-b994d1585d8f,trumppence16,TrumpSupportersElectionWeek,trumppence16,41147,2992059,68875,11205,ORGANIZED,POLITICAL	TRUMP	
20170207235622556121f60f1-4e88-4d01-9ab5-de64cef91b11,trump2016,TrumpSupportersElectionWeek,trump2016,28735,2388801,28031,7833,ORGANIZED,POLITICAL	TRUMP	
20170208000133175b5daaa85-bc06-4477-bcf4-8b3a8f843bc9,votetrump,TrumpSupportersElectionWeek,votetrump,40282,3058863,60934,10810,ORGANIZED,POLITICAL	TRUMP	
20170217093941380e0b944e0-845e-4f01-8be8-c1d556d74bad,presidentelecttrump,BoycottHamilton,presidentelecttrump,2102,115900,1444,588,null,POLITICAL	TRUMP	
20170318102926624751aaa16-2c7b-4f4c-8048-80c6765384d9,americafirstBucket,HillarySupportersElectionDay,americafirst,3341,581557,3961,1104,ORGANIZED,POLITICAL	TRUMP	
20170318103211679926b256c-ffaa-4dfc-8fa0-9e58fc65afb7,americafirstBucket_BC,HillarySupportersElectionDay,americafirst,2684,588447,4239,1042,ORGANIZED,POLITICAL	TRUMP	
20170318103217899bf5f0426-650e-4a90-ae97-a1ba6c73d13d,americafirstBucket_BC,HillarySupportersElectionDay,americafirst,2802,613196,4548,1073,ORGANIZED,POLITICAL	TRUMP	
2017031810322377007ef8d1d-a146-4815-828e-c18b3a574f1c,americafirstBucket_BC,HillarySupportersElectionDay,americafirst,2882,605067,4715,1088,ORGANIZED,POLITICAL	TRUMP	
